,Zip Code,"Volume Sold (Liters), Total","Sale (Dollars), Total","Volume Sold (Liters), Average","Sale (Dollars), Average","Price Per Liter, Average","Margin, Total","Price Per Bottle, Average"
129,50579,325.62,2906.29,5.16857142857,46.1315873016,10.1752324263,971.09,9.8319047619
130,50581,129.25,1566.34,6.4625,78.317,15.8117142857,522.3,14.284
131,50583,2560.79,30392.64,5.18200240324,58.1489822395,14.9263959744,10194.65,14.4712947187
132,50585,619.22,7190.41,4.33020979021,50.2825874126,13.3451118562,2409.4,14.4741958042
133,50588,10833.77,162353.33,7.59684526255,119.360124732,20.8591559693,54278.64,16.7121430988
134,50590,232.22,2877.23,9.67583333333,119.884583333,13.094288278,959.68,14.6291666667
135,50595,5707.35,70643.91,8.07642719467,95.6674069419,15.8480911677,23784.53,12.262429988
136,50597,1044.94,10681.07,14.1208108108,144.338783784,15.482020592,3562.92,16.8744594595
137,50601,505.48,5881.11,6.73056671449,78.2538522238,16.1655788458,1967.98,13.8855021521
138,50602,861.4,8581.23,8.94726705796,91.7703049645,13.9833425334,2876.12,12.5794358034
139,50606,230.12,2259.67,3.9675862069,38.9598275862,13.4860324302,759.42,9.25879310345
140,50613,36382.83,515851.85,10.3445258128,135.804986057,16.5769679805,172554.57,14.0968638717
141,50616,6168.65,76421.17,13.7670499982,152.58203721,15.1268025159,25640.46,14.2188056986
142,50619,461.64,5740.33,9.46591517857,117.248392857,14.8068866922,1919.45,11.2300892857
143,50621,418.98,4888.28,4.9957523511,58.7681974922,16.8443701534,1643.36,14.4270768025
144,50622,899.25,9702.39,9.5664893617,103.216914894,12.9034549139,3271.23,12.9234042553
145,50627,2003.38,23201.93,7.39808546124,89.7316695422,15.5288261105,7757.74,14.1022020934
146,50628,542.95,7437.02,13.57375,185.9255,16.006452381,2481.91,18.00075
147,50629,380.25,4294.71,5.43214285714,61.353,15.3782789116,1446.16,14.6394285714
148,50630,400.5,4154.49,6.675,69.2415,13.2752539683,1391.43,13.2416666667
149,50635,278.25,3213.47,4.96875,57.3833928571,13.7704676871,1071.94,11.6819642857
150,50636,354.62,3939.16,4.172,46.3430588235,15.1192058824,1320.45,13.7796470588
151,50638,1635.26,19498.09,5.25074108656,63.6713292412,14.4232647143,6518.3,12.2941925831
152,50641,251.9,3370.78,9.32962962963,124.843703704,14.9930335097,1124.06,9.5062962963
153,50643,321.0,4225.74,12.3461538462,162.528461538,15.2569047619,1419.18,15.0907692308
154,50644,7459.03,95229.77,12.463469697,154.327647085,16.7810995945,31972.88,14.9045241007
155,50647,1199.06,17109.81,3.38717514124,48.3327966102,18.2575367591,5714.74,13.6666384181
156,50648,613.25,7520.6,4.31866197183,52.961971831,15.8448323273,2517.28,14.8633802817
157,50651,953.95,11738.16,4.94274611399,60.8194818653,15.3062714622,3940.85,13.2337305699
158,50658,385.55,4879.24,6.53474576271,82.6989830508,16.0970702179,1629.04,13.9922033898
159,50659,1975.73,20978.6,8.93478282292,95.2519769557,14.1090359616,7026.13,14.0229407975
160,50662,5585.55,70995.29,13.0957927421,167.149526199,14.6700895162,23800.31,13.8554756784
